UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI,empty
0,0,14774,0,0,0,111352,0,0,95.278198905,0.01514322396326669,0,0.00682402434122807,10,10,15,
0,0,18377,0,0,0,77995,0,0,96.278295501,0.01500669857850685,0,0.006870767999752076,9,10,15,
0,0,15187,0,0,0,137573,0,0,97.300011978,0.014925180429677195,0,0.006874640032780891,10,8,15,
0,0,264,0,0,0,87407,0,0,98.308063711,0.014922736921975295,0,0.006924329660481927,10,10,15,
0,0,0,1284,0,0,192554,0,0,99.373778227,0,0.016136569891728975,0.006889759304194155,7,11,14,
0,0,0,23631,0,0,130742,0,0,100.397787377,0,0.016100762055555568,0.006899681708768267,8,11,15,
0,0,0,50719,0,0,146222,0,0,101.416687531,0,0.01598967566527198,0.006892753465018232,8,10,15,
0,0,0,81841,0,0,130323,0,19475,102.428637704,0,0.015854326991820055,0.0068110584706468765,7,11,15,
0,0,0,81904,0,0,67348,0,21008,103.437053879,0,0.01572253522195069,0.006768760220320624,7,10,15,
0,0,0,132315,0,0,121584,0,19607,104.442846437,0,0.015443616607703905,0.006683776402631578,7,10,15,
0,0,0,73219,0,0,23257,0,22573,107.287107539,0,0.015257153637630671,0.0066040479332190065,10,11,15,
0,0,0,13683,0,0,1104,0,7942,108.288127659,0,0.015234877542687918,0.006659638329325719,7,10,15,
0,0,0,99779,0,0,3064,0,26445,109.300088012,0,0.015056804700960779,0.006626580661461403,10,10,15,
0,0,0,181314,0,0,3064,0,28142,113.04007323,0,0.014792857032789968,0.006549499014633687,14,14,15,
0,0,0,46723,0,0,828,0,8469,114.051608071,0,0.014717270140654043,0.006620612191419452,11,10,15,
0,0,0,135918,0,0,3064,0,29625,115.202996033,0,0.014490946317434517,0.006578900280997057,11,13,15,
0,0,0,39358,0,0,828,0,8683,116.210147607,0,0.014608259718744406,0.0065657206218564254,7,10,15,
0,0,0,38354,0,0,3064,0,19346,117.450118383,0,0.014669979579818485,0.006566129567084725,8,10,15,
0,0,0,88610,0,0,1794,0,6722,118.46087131,0,0.014603682451601622,0.006620444735679657,9,10,15,
0,0,0,198311,0,0,0,0,28208,121.329083142,0,0.014532907656281584,0.006587469085548321,8,11,15,
0,0,0,188087,0,0,0,0,28274,124.240148014,0,0.01444382723481782,0.006555966815542346,9,12,15,
0,0,16818,188550,0,0,0,0,28620,127.168095776,0.014822040632217355,0.014163690169512773,0.006522207296390016,7,11,15,
0,0,17564,94865,0,0,0,0,23433,129.959071377,0.01468547679047768,0.013934917698848144,0.006617953284923589,10,10,15,
0,0,11707,97421,0,0,0,0,29493,136.127821563,0.014847770055919527,0.013890530512445735,0.006566121809333871,9,10,15,
0,0,17284,135648,0,0,0,0,29559,142.831843354,0.015098516667799593,0.01383024134176341,0.006516967435389365,11,12,15,
0,0,19739,124541,0,0,0,0,28274,143.846105292,0.014943889025496142,0.013713713489823615,0.006497121942713879,14,14,15,
0,0,0,67657,0,0,0,0,0,153.255921487,0,0.014517755975683494,0,11,11,15,
0,0,0,30871,0,0,0,0,0,156.279693024,0,0.014810901879341865,0,14,14,15,
0,0,0,29741,0,0,0,0,0,157.301888104,0,0.014854263312086202,0,14,14,15,
0,0,0,18905,0,0,0,0,0,158.33902762,0,0.014913286557938254,0,14,14,15,
0,0,0,3202,0,0,0,0,0,159.408214595,0,0.015001039254283139,0,13,14,15,
0,0,0,3202,0,0,0,0,0,160.465651853,0,0.015088660241361594,0,13,14,15,
0,0,0,3230,0,0,0,0,0,161.499090935,0,0.015176023369283977,0,11,11,15,
0,0,0,3202,0,0,0,0,0,162.53512351,0,0.015262575294673649,0,10,12,15,
0,0,0,3202,0,0,0,0,0,163.594732314,0,0.015348354610368107,0,12,14,15,
0,0,0,3202,0,0,0,0,0,164.652117582,0,0.015433666443414203,0,11,14,15,
0,0,0,3202,0,0,0,0,0,165.709543133,0,0.015518752766941101,0,14,14,15,
0,0,0,3202,0,0,0,0,0,166.769400516,0,0.015603149995073895,0,14,14,15,
