Packet_Num,Time,Source,Destination,Protocol,Length
"4872","48.061509","192.168.3.102","192.168.20.3","SIP","352"
"4873","48.065706","192.168.3.101","192.168.20.2","UDP","1182"
"4874","48.065727","192.168.3.101","192.168.20.2","UDP","1182"
"4875","48.070897","192.168.3.101","192.168.20.2","UDP","1182"
"4876","48.070919","192.168.3.101","192.168.20.2","UDP","1182"
"4877","48.075982","192.168.3.101","192.168.20.2","UDP","1182"
"4878","48.076003","192.168.3.101","192.168.20.2","UDP","1182"
"4879","48.080081","192.168.20.2","192.168.3.101","UDP","100"
"4880","48.081076","192.168.3.101","192.168.20.2","UDP","1182"
"4881","48.081105","192.168.3.101","192.168.20.2","UDP","1182"
"4882","48.086166","192.168.3.101","192.168.20.2","UDP","1182"
"4883","48.086194","192.168.3.101","192.168.20.2","UDP","1182"
"4884","48.09125","192.168.3.101","192.168.20.2","UDP","1182"
"4885","48.091281","192.168.3.101","192.168.20.2","UDP","1182"
"4886","48.096294","192.168.3.101","192.168.20.2","UDP","1182"
"4887","48.096324","192.168.3.101","192.168.20.2","UDP","1182"
"4888","48.101455","192.168.3.101","192.168.20.2","UDP","1182"
"4889","48.101486","192.168.3.101","192.168.20.2","UDP","1182"
"4890","48.106549","192.168.3.101","192.168.20.2","UDP","1182"
"4891","48.10658","192.168.3.101","192.168.20.2","UDP","1182"
"4892","48.111608","192.168.3.101","192.168.20.2","UDP","1182"
"4893","48.111639","192.168.3.101","192.168.20.2","UDP","1182"
"4894","48.114711","192.168.3.101","192.168.20.2","UDP","112"
"4895","48.116726","192.168.3.101","192.168.20.2","UDP","1182"
"4896","48.116756","192.168.3.101","192.168.20.2","UDP","1182"
"4897","48.121869","192.168.3.101","192.168.20.2","UDP","1182"
"4898","48.1219","192.168.3.101","192.168.20.2","UDP","1182"
"4899","48.12696","192.168.3.101","192.168.20.2","UDP","1182"
"4900","48.126989","192.168.3.101","192.168.20.2","UDP","1182"
"4901","48.132083","192.168.3.101","192.168.20.2","UDP","1183"
"4902","48.132122","192.168.3.101","192.168.20.2","UDP","1183"
"4903","48.137171","192.168.3.101","192.168.20.2","UDP","1183"
"4904","48.137201","192.168.3.101","192.168.20.2","UDP","1183"
"4905","48.138026","192.168.20.2","192.168.3.101","UDP","96"
"4907","48.141511","192.168.3.102","192.168.20.3","SIP","360"
"4909","48.142248","192.168.3.101","192.168.20.2","UDP","1183"
"4910","48.142278","192.168.3.101","192.168.20.2","UDP","1183"
"4911","48.147345","192.168.3.101","192.168.20.2","UDP","1183"
"4912","48.147368","192.168.3.101","192.168.20.2","UDP","1183"
"4913","48.152445","192.168.3.101","192.168.20.2","UDP","1183"
"4914","48.152476","192.168.3.101","192.168.20.2","UDP","1183"
"4915","48.157542","192.168.3.101","192.168.20.2","UDP","1183"
"4916","48.157572","192.168.3.101","192.168.20.2","UDP","1183"
"4917","48.162627","192.168.3.101","192.168.20.2","UDP","1183"
"4918","48.162658","192.168.3.101","192.168.20.2","UDP","1183"
"4919","48.167768","192.168.3.101","192.168.20.2","UDP","1183"
"4920","48.167798","192.168.3.101","192.168.20.2","UDP","1183"
"4921","48.171429","192.168.20.3","192.168.3.102","SIP","410"
"4922","48.171448","192.168.20.3","192.168.3.102","SIP","410"
"4923","48.171915","192.168.3.102","192.168.20.3","SIP","352"
"4924","48.172908","192.168.3.101","192.168.20.2","UDP","1183"
"4925","48.173106","192.168.20.2","192.168.3.101","UDP","100"
"4926","48.173316","192.168.3.101","192.168.20.2","UDP","1183"
"4927","48.17838","192.168.3.101","192.168.20.2","UDP","1183"
"4928","48.178411","192.168.3.101","192.168.20.2","UDP","1183"
"4929","48.183468","192.168.3.101","192.168.20.2","UDP","1183"
"4930","48.183498","192.168.3.101","192.168.20.2","UDP","1183"
"4931","48.188542","192.168.3.101","192.168.20.2","UDP","1183"
"4932","48.188572","192.168.3.101","192.168.20.2","UDP","1183"
"4933","48.193626","192.168.3.101","192.168.20.2","UDP","1183"
"4934","48.193657","192.168.3.101","192.168.20.2","UDP","1183"
"4935","48.19874","192.168.3.101","192.168.20.2","UDP","1183"
"4936","48.198771","192.168.3.101","192.168.20.2","UDP","1183"
"4937","48.203839","192.168.3.101","192.168.20.2","UDP","1198"
"4938","48.203869","192.168.3.101","192.168.20.2","UDP","1198"
"4939","48.208906","192.168.3.101","192.168.20.2","UDP","1198"
"4940","48.208937","192.168.3.101","192.168.20.2","UDP","1198"
"4941","48.213969","192.168.3.101","192.168.20.2","UDP","1198"
"4942","48.214","192.168.3.101","192.168.20.2","UDP","1198"
"4943","48.219041","192.168.3.101","192.168.20.2","UDP","1198"
